"start_time","end_time","title"
2023-12-02 07:00:00.572,2023-12-02 07:28:00.572,Better Self 訪問丹尼爾
2023-12-02 06:44:00.591,2023-12-02 07:00:00.591,看影片
2023-12-02 06:00:00.667,2023-12-02 06:44:00.667,看影片
2023-12-02 05:30:00.320,2023-12-02 06:00:00.320,坐車回家
2023-12-02 03:45:00.534,2023-12-02 05:30:00.534,吃飯
2023-12-02 03:15:00.061,2023-12-02 03:45:00.061,騎車
2023-12-02 01:30:00.981,2023-12-02 03:15:00.981,電粉咖啡廳 with macros
2023-12-02 00:30:00.369,2023-12-02 01:30:00.369,吃早餐、看影片
2023-12-02 00:05:00.129,2023-12-02 00:30:00.129,休息、散步、買早餐
2023-12-01 16:27:00.177,2023-12-02 00:05:00.177,睡覺
2023-12-01 14:13:00.000,2023-12-01 16:27:00.000,雜事
2023-12-01 14:05:00.077,2023-12-01 14:13:00.077,回覆 IG
2023-12-01 13:10:00.044,2023-12-01 14:05:00.044,整理名片
2023-12-01 12:54:00.940,2023-12-01 13:10:00.940,上廁所
2023-12-01 12:20:00.660,2023-12-01 12:54:00.660,搭車回家
2023-12-01 09:53:00.711,2023-12-01 12:20:00.711,吃飯
2023-12-01 02:20:00.883,2023-12-01 09:53:00.883,看展覽
2023-12-01 01:30:00.823,2023-12-01 02:20:00.823,Traffic | 去看展
2023-12-01 01:00:00.636,2023-12-01 01:30:00.636,準備出門
2023-12-01 00:28:00.536,2023-12-01 01:00:00.536,吃早餐 + 看影片
2023-12-01 00:00:00.528,2023-12-01 00:28:00.528,休息
2023-11-30 16:43:00.000,2023-12-01 00:00:00.000,睡覺
2023-11-30 16:14:00.989,2023-11-30 16:43:00.989,拉筋
2023-11-30 15:43:00.000,2023-11-30 16:14:00.000,Langchain 學習
2023-11-30 15:27:00.966,2023-11-30 15:43:00.966,雜事
2023-11-30 15:04:00.330,2023-11-30 15:27:00.330,刷牙
2023-11-30 14:39:00.822,2023-11-30 15:04:00.822,跟哥聊天
2023-11-30 14:17:00.592,2023-11-30 14:39:00.592,雪球雜事
2023-11-30 14:00:00.825,2023-11-30 14:17:00.825,洗澡
2023-11-30 13:45:00.518,2023-11-30 14:00:00.518,雜事
2023-11-30 13:00:00.924,2023-11-30 13:45:00.924,把 YC startup school 筆記出文章
2023-11-30 12:33:00.842,2023-11-30 13:00:00.842,跟 Xavier 聊天
2023-11-30 12:10:00.323,2023-11-30 12:33:00.323,騎車回家
2023-11-30 11:02:00.284,2023-11-30 12:30:00.284,跟 Jacky  討論
2023-11-30 09:20:00.557,2023-11-30 11:02:00.557,吃飯、去福海
